,,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower,south_tower
t_hour,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,cluster,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,0,104.6752655,102.733893,101.9820345,99.507959,99.4684105,99.249255,99.4684105,108.661798,114.3644295,124.5377895,120.166697,108.8857605,107.262524,105.81955,108.0764365,105.78000149999998,106.7667475,114.7817645,108.111178,106.44008999999998,106.378473,100.0469985,103.4280675,100.6657905
2017-04-02,0,101.565792,100.006139,98.6018395,99.4032975,95.7320605,97.2073725,95.0538365,96.937525,97.533156,102.1013355,100.3319225,94.4066395,100.367538,92.4327105,98.957776,101.343359,97.7204105,97.18443,94.184425,103.182692,106.114962,98.663675,93.584861,95.9361395
2017-04-03,2,107.019115,98.87999,88.9441395,93.3661425,93.7764855,100.519177,102.047366,128.64908549999998,160.0047095,188.6928855,376.6186175,284.7398045,306.0785145,300.1925615,311.1367895,318.9044645,247.58322400000003,239.4067355,209.228608,180.06082450000005,154.949275,110.7823405,105.2551645,104.004689
2017-04-04,2,113.095163,104.2220965,102.128211,103.789685,98.2775855,103.1243525,114.7708395,149.8036,160.2441855,199.2442505,388.348353,323.4492645,328.242936,320.74926,338.6863620000001,356.394039,260.5575355,240.139803,199.936677,169.392125,143.8536265,114.6288145,111.9333985,107.9706825
2017-04-05,2,111.3111105,107.4843015,99.046924,98.3649855,103.6745355,94.8130495,108.4234145,139.3748135,177.869925,205.3950255,390.2447145,321.0245700000001,311.3188,332.2111145,348.99235150000015,344.5126645,257.632913,230.10235,199.58227,181.7507035,147.6441645,105.928363,105.7686395,105.4697315
2017-04-06,2,97.954424,102.19682,90.4478565,92.7381735,99.7926645,93.397825,103.0627355,129.71034,167.2580355,194.6242865,389.4572405,306.1694105,323.4750475,308.1324145,319.7404455,350.274291,250.8889105,234.554069,199.9312145,170.239031,154.350148,107.8443895,94.731549,106.1156175
2017-04-07,2,96.8245605,91.502556,99.3408065,93.1684,95.6267435,99.289022,106.73725,134.3283375,159.3229895,209.2672825,395.8090355,309.115883,335.4667645,304.041439,356.6852995,362.4915,235.679344,216.699997,186.7010395,159.94724399999996,139.3118855,106.2213715,98.258139,108.0226855
2017-04-08,0,104.7679095,103.230762,100.5958705,92.6472775,95.6520895,103.6164145,95.042256,107.4065155,115.91425,110.231502,102.8625895,98.3361435,112.8406105,109.705791,112.2178855,104.765069,112.4656645,101.195216,105.7878675,103.3068,105.8062215,89.3483645,86.480115,94.4298005
2017-04-09,0,98.262072,87.6768395,91.8283395,91.934749,97.4363605,89.2622755,90.7939605,90.426225,93.285953,96.8101395,98.2579205,88.48528950000002,99.060034,95.5209895,93.8402875,99.3738,101.760694,89.7748765,90.3678855,94.4411625,100.0293,92.57845,91.7291405,90.1821605
2017-04-10,2,93.1323475,87.6064825,89.083324,86.414565,98.3977605,90.806415,100.548019,122.4948145,364.9279935,235.925375,279.271405,303.3289105,309.382016,299.9168145,397.378084,427.610181,255.0041395,215.6212625,185.26615,143.81233,125.197878,107.1814605,98.170739,103.5325105
