,,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil,civil
t_hour,,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,cluster,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-21,0,84.4982579,75.98621779999998,75.2056277,72.706174,72.7991423,83.3435038,104.3661754,185.5196744,290.1248566,334.6486545,376.8159828,387.7486349,385.3597123,358.8467567,339.0061379,338.6961163,325.173333,289.2449985,256.726138,183.1817221,144.32078180000005,111.9618955,98.1525713,98.2661568
2017-02-22,0,88.6434605,81.09546540000002,79.5781922,76.84507690000002,78.2934352,95.0760269,112.8904331,198.1566817,303.714264,336.7004477,367.6775998,365.3751549,334.7463953,315.8560767,321.6783358,329.6724642,324.4587943,299.4982375,252.7124655,175.6253274,133.9974825,111.8962259,102.5295265,99.3000712
2017-02-23,0,90.9688134,78.62140140000002,75.4705969,73.4663378,76.3430099,89.2644582,104.792646,185.7812074,296.1569148,334.6658355,350.81483010000005,336.5059206,367.2996178,297.2379815,309.0356015000001,306.8782406,309.9011421,302.0438890000001,270.197951,199.5697235,135.7953787,109.368519,93.2109339,91.798083
2017-02-24,0,85.189125,79.4875147,77.32576309999997,74.1549141,75.7378569,89.14648199999998,104.8443799,187.4145478,294.0972947,323.28743189999994,341.0191784,341.2060695,345.2600219,316.52957189999995,304.6086305,302.8859489,301.6059644,262.378687,231.6918938,158.12953330000005,120.1356608,105.2628327,101.3825993,92.0809968
2017-02-25,1,84.16857359999999,80.9877978,80.46435,78.6494637,78.4413827,77.39105090000002,78.7951204,84.8449323,90.568687,92.1088682,93.7040286,94.4777463,94.1950234,90.6923902,88.1356665,87.0399005,85.5999418,84.5270838,85.19160670000002,83.4981328,81.9403888,80.1633007,77.0789294,77.7209261
2017-02-26,1,78.32359740000003,77.7686511,77.93759759999998,78.0357202,76.80403340000002,78.7935932,78.4730721,78.4060662,77.56896970000003,79.20173740000001,79.7419844,81.2542942,80.4055528,80.23393370000002,79.76107440000001,81.046595,82.835328,84.04028879999998,84.4631323,83.92994859999997,81.4619934,81.2376859,81.9153809,80.15299209999998
2017-02-27,0,78.80180190000002,72.0548232,71.24120740000002,70.1929755,70.37413959999998,73.3714605,87.1027066,163.8868864,250.023639,257.2581763,262.9149251,260.3135308,256.0975043,261.63799500000005,255.4770793,252.8919115,252.5534458,210.0253165,200.2582998,145.46446369999995,110.3797163,87.5765204,75.9291387,75.6546245
2017-02-28,1,75.6559608,69.1875052,68.45635820000001,70.4470634,70.19373909999999,68.49091109999999,67.24376140000001,128.1593787,194.8892373,193.6754951,195.1568791,199.8698183,199.0143954,174.58129530000005,162.9530036,167.5517846,175.8715884,161.5727966,144.07986599999995,96.6110538,81.3316087,79.18417459999998,81.6177678,79.43749890000002
2017-03-01,0,77.303046,72.3196015,71.831852,69.5557513,69.52578000000001,80.3049485,97.591898,183.0820723,295.999995,339.2848519,369.4879045,391.5576626,401.9178056,360.9997269,346.1562974,345.6685479,343.518823,319.1202758,276.37490230000003,179.1869487,127.8695925,97.8545764,88.29163179999998,89.95169820000002
2017-03-02,0,77.15070779999998,68.5936153,69.1386348,66.7374946,65.09747270000001,78.57558540000002,91.8998327,178.6050855,288.4350098000001,329.7266798,362.2310319,358.1906334,356.2928965,330.6202827,323.3618829,319.7586454,305.61600980000014,267.3187972,227.6098791,170.2797456,123.0972834,98.2365673,95.3982661,86.7818037
2017-03-03,0,80.1445925,69.3850867,68.63141350000001,65.3935586,64.7891692,71.79691729999998,94.2580204,178.2736831,287.1172271000001,329.3557611,358.10186489999984,381.6841237,383.5184818,383.867447,355.1322245,346.9101615,338.3250067,284.0777173,247.0963784,164.7050838,118.6506497,101.0351613,99.5344964,91.0087115
2017-03-04,1,85.59249670000001,76.60683370000002,75.21956340000001,73.7998401,74.5892116,72.9940512,72.9266635,81.6962277,80.65257740000001,85.9053818,98.1147731,98.0945377,99.9222143,97.4557863,95.587448,96.3193586,93.9890423,92.9146571,95.0981713,87.329114,85.3309637,84.1057675,81.405487,82.5728405
2017-03-05,1,80.25168740000002,80.1102305,80.3790177,77.9555422,76.2158705,75.8203257,76.5531908,74.9049602,73.84622879999998,75.3890826,77.6071497,75.3770559,75.55192029999998,78.5727219,79.8234987,83.41604579999998,84.30964870000003,85.7956143,88.6001262,92.9707817,84.15043809999997,80.49374859999998,78.76514909999999,77.1060372
2017-03-06,0,72.2961208,63.3165666,63.7140204,63.6147524,63.0748872,74.6327368,91.2389369,176.11135880000003,295.5133909,331.4833416,370.4055608,363.7985118,362.7817784,348.7779271,344.4603418,327.8969033,324.8207407,293.5690744,241.9806402,176.2757237,131.80556869999998,118.083104,101.079641,98.4645019
2017-03-07,0,89.7163185,81.86708320000002,68.7898605,66.8367626,65.186623,79.51977679999997,93.4014521,179.6410998,284.4742166000001,317.8744624,327.5093763000001,311.6877752,318.0894158000001,311.2912759,302.9682268,301.8701700000001,309.2434916,263.6941789,230.8746509,175.3399319,137.2651178,115.8482377,102.2998738,102.0692666
2017-03-08,0,89.09417540000004,80.46225009999998,82.3212343,77.90457190000002,74.8303183,89.7964965,97.404816,180.2187632,265.9290452,290.0456331000001,312.0879016,330.1529595,338.423702,323.0262807000001,314.4707154,288.5006794,296.2892085,275.7103794,220.3308621,171.89724130000005,129.8102819,112.0216472,96.0204092,88.27559620000002
2017-03-09,0,83.2356453,70.1143247,67.06049739999999,67.46883249999999,65.1220988,75.5765464,105.2975765,180.957928,266.0556119,279.5033715,313.1557962,316.8033225000001,292.0403472,283.4282755,310.5639469,311.9391905,302.4258799,265.7387179,243.83599730000003,189.7887711,158.79062,137.4644174,119.3075366,106.4110962
2017-03-10,2,96.1570936,81.2856018,77.8018677,77.9408429,81.0458314,93.5604718,107.6887899,175.97162,257.7619614,271.58942110000004,294.1518921,304.3963497,293.8019724,285.7668005,312.6817915000001,310.0151094,296.5347059,247.671751,240.883347,197.9318015,155.0854419,130.1407298,111.392059,101.3999712
2017-03-11,1,97.0524146,93.0534414,91.7625756,88.82405190000001,89.2726669,86.45364659999998,85.15132679999998,94.4034862,103.893507,111.84201029999998,122.8494952,126.4170344,130.3564468,118.829523,119.778296,113.54502920000002,118.1352197,111.9067254,109.7077483,106.4242683,100.6220537,91.8778792,90.3978315,91.2948706
2017-03-12,1,91.2229013,89.7165094,88.0283807,88.7728907,88.05071600000002,85.92256280000002,84.7628453,81.0271232,80.7587178,80.3257566,83.1913565,83.698196,84.6465872,85.3729617,85.65396650000002,88.0489979,88.3489018,89.60445109999998,89.4696757,89.8917556,89.2106244,87.791092,87.5956104,89.4078241
2017-03-13,2,88.43461590000004,88.27216,86.90417059999999,85.13910920000002,83.78658270000003,96.3394031,114.0709587,187.719606,277.38189980000004,312.5634335,356.3541754,344.5584644,351.954694,342.6469827,340.0075993000001,330.31217010000006,326.0390645,293.2726067,255.3045057,196.1333326,142.1069145,111.9143614,106.1010746,101.7441639
2017-03-22,2,117.9431743,112.2150289,111.241248,105.16089209999998,102.9443522,100.0441994,124.6158929,194.9686517,287.4196127,307.854885,339.9696102,354.2487393,356.7522019,341.7913688999999,332.17096339999995,327.2552884,328.8638118,286.8736387,267.9312044,209.4150092,154.8723975,128.9621132,116.2548547,112.7209139
2017-03-23,2,107.7670589,106.6256678,100.0119373,96.5356483,96.0326268,109.3528652,125.5579844,191.4757544,278.2071605,342.184432,352.9555827,378.66924,372.4636537,366.9376714,372.3609495,367.6012398,357.1866903,320.2318865000001,283.413958,216.9567046,164.630251,133.7855835,118.3791899,114.23436909999998
2017-03-24,2,110.02235149999998,106.0753031,105.2968129,106.12665520000002,99.9134329,96.5106404,124.0483472,195.0694469,289.60121789999994,330.9514942,371.3075633,378.4338603,389.4787616,388.6561735,372.5906022,334.162814,334.3624954,299.5810881,248.891602,181.4577042,137.49820669999997,111.42126670000002,109.7046939,105.0335618
